,ink_change_threshold_pct,ink_window_size,ink_position_limit,clear_price_thresh,profit_day_-2,profit_day_-1,profit_day_0,tot_profit
2,0.015,10,50,0,4273.0,3517.0,0.0,7790.0
3,0.017,10,50,0,4273.0,3450.0,0.0,7723.0
4,0.018,10,50,0,4273.0,3450.0,0.0,7723.0
0,0.012,10,50,0,1127.0,6462.0,0.0,7589.0
1,0.013,10,50,0,1127.0,3893.0,0.0,5020.0
